CONTINENT GMI>>,<<NAME>>,<<FIPS CODE>>,<<ISO 2 CHARACTOR CODE>>,<<ISO 3 CHARACTOR CODE>>,<<GMI CODE
AF-001>>,<<Equatorial Guinea>>,<<EK>>,<<GQ>>,<<GNQ>>,<<GNQ>>,<<GNQ
AF-001>>,<<Eritrea>>,<<ER>>,<<ER>>,<<ERI>>,<<ERI>>,<<ERI
EU-001>>,<<Estonia>>,<<EN>>,<<EE>>,<<EST>>,<<EST>>,<<EST
AF-001>>,<<Ethiopia>>,<<ET>>,<<ET>>,<<ETH>>,<<ETH>>,<<ETH
AM-001>>,<<Falkland Islands>>,<<FK>>,<<FK>>,<<FLK>>,<<FLK>>,<<FLK
OA-001>>,<<Federated States of Micronesia>>,<<FM>>,<<FM>>,<<FSM>>,<<FSM>>,<<FSM
OA-001>>,<<Fiji>>,<<FJ>>,<<FJ>>,<<FJI>>,<<FJI>>,<<FJI
EU-001>>,<<Finland>>,<<FI>>,<<FI>>,<<FIN>>,<<FIN>>,<<FIN
EU-001>>,<<France>>,<<FR>>,<<FR>>,<<FRA>>,<<FRA>>,<<FRA
AM-001>>,<<French Guiana>>,<<FG>>,<<GF>>,<<GUF>>,<<GUF>>,<<GUF
OA-001>>,<<French Polynesia>>,<<FP>>,<<PF>>,<<PYF>>,<<PYF>>,<<PYF
AF-001>>,<<French Southern and Antarctic Lands>>,<<FS>>,<<TF>>,<<ATF>>,<<ATF>>,<<ATF
AF-001>>,<<Faroe Islands>>,<<FO>>,<<FO>>,<<FRO>>,<<FRO>>,<<FRO>>
AF-001>>,<<Gabon>>,<<GB>>,<<GA>>,<<GAB>>,<<GAB>>,<<GAB
AS-001>>,<<Georgia>>,<<GG>>,<<GE>>,<<GEO>>,<<GEO>>,<<GEO
EU-001>>,<<Germany>>,<<GM>>,<<DE>>,<<DEU>>,<<DEU>>,<<DEU
AF-001>>,<<Ghana>>,<<GH>>,<<GH>>,<<GHA>>,<<GHA>>,<<GHA
EU-001>>,<<Gibraltar>>,<<GI>>,<<GI>>,<<GIB>>,<<GIB>>,<<GIB
EU-001>>,<<Greece>>,<<GR>>,<<GR>>,<<GRC>>,<<GRC>>,<<GRC
AM-001>>,<<Greenland>>,<<GL>>,<<GL>>,<<GRL>>,<<GRL>>,<<GRL
AM-001>>,<<Grenada>>,<<GJ>>,<<GD>>,<<GRD>>,<<GRD>>,<<GRD
AM-001>>,<<Guadeloupe>>,<<GP>>,<<GP>>,<<GLP>>,<<GLP>>,<<GLP
OA-001>>,<<Guam>>,<<GQ>>,<<GU>>,<<GUM>>,<<GUM>>,<<GUM
AM-001>>,<<Guatemala>>,<<GT>>,<<GT>>,<<GTM>>,<<GTM>>,<<GTM
EU-001>>,<<Guernsey>>,<<GK>>,<<GG>>,<<GGY>>,<<XGK>>,<<GGY
AF-001>>,<<Guinea>>,<<GV>>,<<GN>>,<<GIN>>,<<GIN>>,<<GIN
AF-001>>,<<Guinea-Bissau>>,<<PU>>,<<GW>>,<<GNB>>,<<GNB>>,<<GNB
AM-001>>,<<Guyana>>,<<GY>>,<<GY>>,<<GUY>>,<<GUY>>,<<GUY
AM-001>>,<<Haiti>>,<<HA>>,<<HT>>,<<HTI>>,<<HTI>>,<<HTI
AM-001>>,<<Honduras>>,<<HO>>,<<HN>>,<<HND>>,<<HND>>,<<HND
EU-001>>,<<Hungary>>,<<HU>>,<<HU>>,<<HUN>>,<<HUN>>,<<HUN
EU-001>>,<<Iceland>>,<<IC>>,<<IS>>,<<ISL>>,<<ISL>>,<<ISL
AS-001>>,<<India>>,<<IN>>,<<IN>>,<<IND>>,<<IND>>,<<IND
AS-001>>,<<Indonesia>>,<<ID>>,<<ID>>,<<IDN>>,<<IDN>>,<<IDN
AS-001>>,<<Iran>>,<<IR>>,<<IR>>,<<IRN>>,<<IRN>>,<<IRN
AS-001>>,<<Iraq>>,<<IZ>>,<<IQ>>,<<IRQ>>,<<IRQ>>,<<IRQ
EU-001>>,<<Ireland>>,<<EI>>,<<IE>>,<<IRL>>,<<IRL>>,<<IRL
EU-001>>,<<Isle of Man>>,<<IM>>,<<IM>>,<<IMN>>,<<XIM>>,<<IMN
AS-001>>,<<Israel>>,<<IS>>,<<IL>>,<<ISR>>,<<ISR>>,<<ISR
EU-001>>,<<Italy>>,<<IT>>,<<IT>>,<<ITA>>,<<ITA>>,<<ITA
AM-001>>,<<Jamaica>>,<<JM>>,<<JM>>,<<JAM>>,<<JAM>>,<<JAM
EU-001>>,<<Jan Mayen>>,<<JN>>,<<SJ>>,<<SJM>>,<<SJM>>,<<SJM
AS-001>>,<<Japan>>,<<JA>>,<<JP>>,<<JPN>>,<<JPN>>,<<JPN
EU-001>>,<<Jersey>>,<<JE>>,<<JE>>,<<JEY>>,<<XJE>>,<<JEY
AS-001>>,<<Jordan>>,<<JO>>,<<JO>>,<<JOR>>,<<JOR>>,<<JOR
AS-001>>,<<Kazakhstan>>,<<KZ>>,<<KZ>>,<<KAZ>>,<<KAZ>>,<<KAZ
AF-001>>,<<Kenya>>,<<KE>>,<<KE>>,<<KEN>>,<<KEN>>,<<KEN
OA-001>>,<<Kiribati>>,<<KR>>,<<KI>>,<<KIR>>,<<KIR>>,<<KIR
AS-001>>,<<Kuwait>>,<<KU>>,<<KW>>,<<KWT>>,<<KWT>>,<<KWT
AS-001>>,<<Kyrgyzstan>>,<<KG>>,<<KG>>,<<KGZ>>,<<KGZ>>,<<KGZ
AS-001>>,<<Laos>>,<<LA>>,<<LA>>,<<LAO>>,<<LAO>>,<<LAO
EU-001>>,<<Latvia>>,<<LG>>,<<LV>>,<<LVA>>,<<LVA>>,<<LVA
AS-001>>,<<Lebanon>>,<<LE>>,<<LB>>,<<LBN>>,<<LBN>>,<<LBN
AF-001>>,<<Lesotho>>,<<LT>>,<<LS>>,<<LSO>>,<<LSO>>,<<LSO
AF-001>>,<<Liberia>>,<<LI>>,<<LR>>,<<LBR>>,<<LBR>>,<<LBR
AF-001>>,<<Libya>>,<<LY>>,<<LY>>,<<LBY>>,<<LBY>>,<<LBY
EU-001>>,<<Liechtenstein>>,<<LS>>,<<LI>>,<<LIE>>,<<LIE>>,<<LIE
EU-001>>,<<Lithuania>>,<<LH>>,<<LT>>,<<LTU>>,<<LTU>>,<<LTU
EU-001>>,<<Luxembourg>>,<<LU>>,<<LU>>,<<LUX>>,<<LUX>>,<<LUX
EU-001>>,<<Macedonia>>,<<MK>>,<<MK>>,<<MKD>>,<<MKD>>,<<MKD
AF-001>>,<<Madagascar>>,<<MA>>,<<MG>>,<<MDG>>,<<MDG>>,<<MDG
AF-001>>,<<Malawi>>,<<MI>>,<<MW>>,<<MWI>>,<<MWI>>,<<MWI
AF-001>>,<<Malaysia>>,<<MY>>,<<MY>>,<<MYS>>,<<MYS>>,<<MYS
AS-001>>,<<Maldives>>,<<MV>>,<<MV>>,<<MDV>>,<<MDV>>,<<MDV
AF-001>>,<<Mali>>,<<ML>>,<<ML>>,<<MLI>>,<<MLI>>,<<MLI
EU-001>>,<<Malta>>,<<MT>>,<<MT>>,<<MLT>>,<<MLT>>,<<MLT
