PROVINCE NAME>>,<<CHINESE NAME>>,<<PROVINCE GMI
East Berbice-Corentyne>>,<<East Berbice-Corentyne>>,<<GUY-EBC
Potaro-Siparuni>>,<<Potaro-Siparuni>>,<<GUY-PTS
Upper Demerara-Berbice>>,<<Upper Demerara-Berbice>>,<<GUY-UDB
Upper Takutu-Upper Essequibo>>,<<Upper Takutu-Upper Essequibo>>,<<GUY-UTE
Nickerie>>,<<Nickerie>>,<<SUR-NCK
Amazonas>>,<<Amazonas>>,<<VEN-AMZ
Bolivar>>,<<Bolivar>>,<<VEN-BLV
Anzoategui>>,<<Anzoategui>>,<<VEN-ANZ
Aragua>>,<<Aragua>>,<<VEN-ARA
Distrito Federal>>,<<Distrito Federal>>,<<VEN-DFD
Dependencias Federales>>,<<Dependencias Federales>>,<<VEN-DFR
Guarico>>,<<Guarico>>,<<VEN-GUA
Monagas>>,<<Monagas>>,<<VEN-MNG
Miranda>>,<<Miranda>>,<<VEN-MRN
Neuva Esparta>>,<<Neuva Esparta>>,<<VEN-NES
Sucre>>,<<Sucre>>,<<VEN-SUC
Barima-Waini>>,<<Barima-Waini>>,<<GUY-BRW
Cuyuni-Mazaruni>>,<<Cuyuni-Mazaruni>>,<<GUY-CYM
Demerara-Mahaica>>,<<Demerara-Mahaica>>,<<GUY-DMM
Essequibo Islands-West Demerara>>,<<Essequibo Islands-West Demerara>>,<<GUY-EID
Mahaica-Berbice>>,<<Mahaica-Berbice>>,<<GUY-MHB
Pomeroon-Supenaam>>,<<Pomeroon-Supenaam>>,<<GUY-PMS
Trinidad & Tobago>>,<<Trinidad & Tobago>>,<<TTO
Delta Amacuro>>,<<Delta Amacuro>>,<<VEN-DAM
Anguilla>>,<<Anguilla>>,<<AIA
Antigua & Barbuda>>,<<Antigua & Barbuda>>,<<ATG
St. Kitts & Nevis>>,<<St. Kitts & Nevis>>,<<KNA
Montserrat>>,<<Montserrat>>,<<MSR
British Virgin Is.>>,<<British Virgin Is.>>,<<VGB
Aguadilla>>,<<Aguadilla>>,<<PRI-AGD
Arecibo>>,<<Arecibo>>,<<PRI-ARC
Bayamon>>,<<Bayamon>>,<<PRI-BYM
Guayama>>,<<Guayama>>,<<PRI-GYM
Humacao>>,<<Humacao>>,<<PRI-HMC
Mayag?ez>>,<<Mayag?ez>>,<<PRI-MYG
Ponce>>,<<Ponce>>,<<PRI-PNC
San Juan>>,<<San Juan>>,<<PRI-SJN
Virgin Is.>>,<<Virgin Is.>>,<<VIR
Amapa>>,<<Amapa>>,<<BRA-AMA
Cayenne>>,<<Cayenne>>,<<GUF-CYN
Saint-Laurent-du-Maroni>>,<<Saint-Laurent-du-Maroni>>,<<GUF-SLM
Brokopondo>>,<<Brokopondo>>,<<SUR-BRK
Marowijne>>,<<Marowijne>>,<<SUR-MRW
Para>>,<<Para>>,<<SUR-PAR
Sipaliwini>>,<<Sipaliwini>>,<<SUR-SPL
Commewijne>>,<<Commewijne>>,<<SUR-CMM
Coronie>>,<<Coronie>>,<<SUR-COR
Paramaribo>>,<<Paramaribo>>,<<SUR-PRM
Saramacca>>,<<Saramacca>>,<<SUR-SRM
Wanica>>,<<Wanica>>,<<SUR-WNC
Ontario>>,<<安大略>>,<<CAN-ONT
Quebec>>,<<魁北克>>,<<CAN-QUE
Vestgronland>>,<<Vestgronland>>,<<GRL-VST
Maine>>,<<缅因州>>,<<USA-MAI
Michigan>>,<<密歇根>>,<<USA-MCH
New Brunswick>>,<<新不伦瑞克>>,<<CAN-NBR
Nova Scotia>>,<<新斯科舍>>,<<CAN-NSC
Newfoundland>>,<<纽芬兰>>,<<CAN-NWF
Prince Edward Island>>,<<亲王爱德华岛屿>>,<<CAN-PEI
St. Pierre & Miquelon>>,<<St. Pierre & Miquelon>>,<<SPM
Nordgronland>>,<<Nordgronland>>,<<GRL-NRD
Ostgronland>>,<<Ostgronland>>,<<GRL-OST
Vestfirdhir>>,<<Vestfirdhir>>,<<ISL-VST
Jan Mayen>>,<<Jan Mayen>>,<<SJM
Faeroe Islands>>,<<Faeroe Islands>>,<<FRO
Scotland>>,<<苏格兰>>,<<GBR-SCT
Austurland>>,<<Austurland>>,<<ISL-AST
Nordhurland Vestra>>,<<Nordhurland Vestra>>,<<ISL-NVS
Nordhurland Eystra>>,<<Nordhurland Eystra>>,<<ISL-NYS
Reykjavik>>,<<Reykjavik>>,<<ISL-RYK
Sudhurland>>,<<Sudhurland>>,<<ISL-SDH
Vesturland>>,<<Vesturland>>,<<ISL-VSL
England>>,<<英格兰>>,<<GBR-ENG
Northern Ireland>>,<<北爱尔兰>>,<<GBR-NIR
Wales>>,<<威尔士>>,<<GBR-WLS
Connacht>>,<<Connacht>>,<<IRL-CNN
Leinster>>,<<Leinster>>,<<IRL-LEN
Munster>>,<<Munster>>,<<IRL-MUN
Ulster>>,<<Ulster>>,<<IRL-ULT
Isle of Man>>,<<Isle of Man>>,<<XIM
Guernsey>>,<<Guernsey>>,<<XGK
Jersey>>,<<Jersey>>,<<XJE
Cape Verde>>,<<Cape Verde>>,<<CPV
Andalucia>>,<<Andalucia>>,<<ESP-AND
Murcia>>,<<Murcia>>,<<ESP-MUR
Ceuta>>,<<Ceuta>>,<<ESP-PS1
Melilla>>,<<Melilla>>,<<ESP-PS2
Valenciana>>,<<Valenciana>>,<<ESP-VLN
Gibraltar>>,<<Gibraltar>>,<<GIB
Centre-North>>,<<Centre-North>>,<<MAR-CNR
Azores>>,<<Azores>>,<<PRT-AZR
Adrar>>,<<Adrar>>,<<DZA-ADR
Rio de Oro>>,<<Rio de Oro>>,<<ESH-RIR
Saguia el Hamra>>,<<Saguia el Hamra>>,<<ESH-SGH
Canarias>>,<<Canarias>>,<<ESP-CNR
Madeira>>,<<Madeira>>,<<PRT-MDR
Ain Temouchent>>,<<Ain Temouchent>>,<<DZA-ATM
Oran>>,<<Oran>>,<<DZA-ORA
Sidi bel Abbes>>,<<Sidi bel Abbes>>,<<DZA-SBA
Tlemcen>>,<<Tlemcen>>,<<DZA-TLM
Asturias>>,<<Asturias>>,<<ESP-AST
Galicia>>,<<Galicia>>,<<ESP-GLC
Aveiro>>,<<Aveiro>>,<<PRT-AVE
Leiria>>,<<Leiria>>,<<PRT-LEI
Viana do Castelo>>,<<Viana do Castelo>>,<<PRT-VDC
Extremadura>>,<<Extremadura>>,<<ESP-EXT
North-West>>,<<North-West>>,<<MAR-NWT
Beja>>,<<Beja>>,<<PRT-BEJ
Evora>>,<<Evora>>,<<PRT-EVO
Faro>>,<<Faro>>,<<PRT-FAR
Lisboa>>,<<Lisboa>>,<<PRT-LIS
Portalegre>>,<<Portalegre>>,<<PRT-PRT
Santarem>>,<<Santarem>>,<<PRT-SNT
Setubal>>,<<Setubal>>,<<PRT-STB
Braga>>,<<Braga>>,<<PRT-BRA
Braganca>>,<<Braganca>>,<<PRT-BRG
Castelo Branco>>,<<Castelo Branco>>,<<PRT-CBR
Coimbra>>,<<Coimbra>>,<<PRT-CMB
Guarda>>,<<Guarda>>,<<PRT-GUA
Porto>>,<<Porto>>,<<PRT-POR
Viseu>>,<<Viseu>>,<<PRT-VIS
Vila Real>>,<<Vila Real>>,<<PRT-VRE
Aragon>>,<<Aragon>>,<<ESP-ARG
Castilla-La Mancha>>,<<Castilla-La Mancha>>,<<ESP-CLM
Cantabria>>,<<Cantabria>>,<<ESP-CNT
Castilla y Leon>>,<<Castilla y Leon>>,<<ESP-CYL
La Rioja>>,<<La Rioja>>,<<ESP-LJR
Madrid>>,<<Madrid>>,<<ESP-MDR
Navarra>>,<<Navarra>>,<<ESP-NVR
Pais Vasco>>,<<Pais Vasco>>,<<ESP-PSV
Bechar>>,<<Bechar>>,<<DZA-BCH
Naama>>,<<Naama>>,<<DZA-NAM
Tindouf>>,<<Tindouf>>,<<DZA-TND
Centre>>,<<Centre>>,<<MAR-CEN
Centre-South>>,<<Centre-South>>,<<MAR-CSO
Eastern>>,<<Eastern>>,<<MAR-EST
South>>,<<South>>,<<MAR-SOU
Tensift>>,<<Tensift>>,<<MAR-TNF
Tiris Zemmour>>,<<Tiris Zemmour>>,<<MRT-TZM
Boffa>>,<<Boffa>>,<<GIN-BOF
Boke>>,<<Boke>>,<<GIN-BOK
Brakna>>,<<Brakna>>,<<MRT-BRK
Dakhlet Nouadhibou>>,<<Dakhlet Nouadhibou>>,<<MRT-DND
Inchiri>>,<<Inchiri>>,<<MRT-INC
Trarza>>,<<Trarza>>,<<MRT-TRR
Dakar>>,<<Dakar>>,<<SEN-DKR
Southern>>,<<Southern>>,<<SLE-STH
Western Area>>,<<Western Area>>,<<SLE-WAR
Conakry>>,<<Conakry>>,<<GIN-CNK
Coyah>>,<<Coyah>>,<<GIN-COY
Dalaba>>,<<Dalaba>>,<<GIN-DAL
Forecariah>>,<<Forecariah>>,<<GIN-FRC
Fria>>,<<Fria>>,<<GIN-FRI
Kindia>>,<<Kindia>>,<<GIN-KIN
Mamou>>,<<Mamou>>,<<GIN-MAM
Pita>>,<<Pita>>,<<GIN-PIT
Telimele>>,<<Telimele>>,<<GIN-TLM
Northern>>,<<Northern>>,<<SLE-NRT
Assaba>>,<<Assaba>>,<<MRT-ASB
Guidimaka>>,<<Guidimaka>>,<<MRT-GDM
Gorgol>>,<<Gorgol>>,<<MRT-GRG
Diourbel>>,<<Diourbel>>,<<SEN-DRB
Fatick>>,<<Fatick>>,<<SEN-FTC
Kaolack>>,<<Kaolack>>,<<SEN-KLC
Louga>>,<<Louga>>,<<SEN-LOU
Saint-Louis>>,<<Saint-Louis>>,<<SEN-STL
Thies>>,<<Thies>>,<<SEN-THI
MacCarthy Island>>,<<MacCarthy Island>>,<<GMB-MIS
Upper River>>,<<Upper River>>,<<GMB-URI
Bissau>>,<<Bissau>>,<<GNB-BIS
Biombo>>,<<Biombo>>,<<GNB-BMB
Bolama>>,<<Bolama>>,<<GNB-BOL
Cacheu>>,<<Cacheu>>,<<GNB-CAC
Oio>>,<<Oio>>,<<GNB-OIO
Quinara>>,<<Quinara>>,<<GNB-QNR
Kolda>>,<<Kolda>>,<<SEN-KLD
Banjul>>,<<Banjul>>,<<GMB-BNJ
Kombo Saint Mary>>,<<Kombo Saint Mary>>,<<GMB-KSM
Lower River>>,<<Lower River>>,<<GMB-LRI
North Bank>>,<<North Bank>>,<<GMB-NBA
Western>>,<<Western>>,<<GMB-WST
Ziguinchor>>,<<Ziguinchor>>,<<SEN-ZGN
Bafata>>,<<Bafata>>,<<GNB-BAF
Gabu>>,<<Gabu>>,<<GNB-GAB
Tombali>>,<<Tombali>>,<<GNB-TMB
Gaoual>>,<<Gaoual>>,<<GIN-GAO
Koundara>>,<<Koundara>>,<<GIN-KND
Koubia>>,<<Koubia>>,<<GIN-KOB
Labe>>,<<Labe>>,<<GIN-LAB
Lelouma>>,<<Lelouma>>,<<GIN-LLM
Mali>>,<<Mali>>,<<GIN-MLI
Tougue>>,<<Tougue>>,<<GIN-TOU
Tambacounda>>,<<Tambacounda>>,<<SEN-TMB
Dinguiraye>>,<<Dinguiraye>>,<<GIN-DNG
Siguiri>>,<<Siguiri>>,<<GIN-SIG
Bamako>>,<<Bamako>>,<<MLI-BAM
Kayes>>,<<Kayes>>,<<MLI-KAY
Sikasso>>,<<Sikasso>>,<<MLI-SKS
Adrar>>,<<Adrar>>,<<MRT-ADR
Hodh ech Chargui>>,<<Hodh ech Chargui>>,<<MRT-HEC
Hodh el Gharbi>>,<<Hodh el Gharbi>>,<<MRT-HEG
Tagant>>,<<Tagant>>,<<MRT-TGN
Houet>>,<<Houet>>,<<BFA-HUT
Kenedougou>>,<<Kenedougou>>,<<BFA-KND
Kossi>>,<<Kossi>>,<<BFA-KSS
Mouhoun>>,<<Mouhoun>>,<<BFA-MHN
Oudalan>>,<<Oudalan>>,<<BFA-ODL
Soum>>,<<Soum>>,<<BFA-SOM
Sourou>>,<<Sourou>>,<<BFA-SOR
Mopti>>,<<Mopti>>,<<MLI-MOP
Segou>>,<<Segou>>,<<MLI-SEG
Bam>>,<<Bam>>,<<BFA-BAM
Boulkiemde>>,<<Boulkiemde>>,<<BFA-BLK
Bazega>>,<<Bazega>>,<<BFA-BZG
Kadiogo>>,<<Kadiogo>>,<<BFA-KDG
Oubritenga>>,<<Oubritenga>>,<<BFA-OBR
Passore>>,<<Passore>>,<<BFA-PSS
Sanguie>>,<<Sanguie>>,<<BFA-SNG
Sissili>>,<<Sissili>>,<<BFA-SSS
Yatenga>>,<<Yatenga>>,<<BFA-YTN
Namentenga>>,<<Namentenga>>,<<BFA-NMT
Sanmatenga>>,<<Sanmatenga>>,<<BFA-SNM
Boulgou>>,<<Boulgou>>,<<BFA-BLG
Ganzourgou>>,<<Ganzourgou>>,<<BFA-GNZ
Kouritenga>>,<<Kouritenga>>,<<BFA-KRT
Nahouri>>,<<Nahouri>>,<<BFA-NHR
Zoundweogo>>,<<Zoundweogo>>,<<BFA-ZND
Abidjan>>,<<Abidjan>>,<<CIV-ABD
Grand-Lahou>>,<<Grand-Lahou>>,<<CIV-GRL
San-Pedro>>,<<San-Pedro>>,<<CIV-SNP
Sassandra>>,<<Sassandra>>,<<CIV-SSS
Tabou>>,<<Tabou>>,<<CIV-TAB
Grand Kru>>,<<Grand Kru>>,<<LBR-GKR
Maryland>>,<<Maryland>>,<<LBR-MRY
Sino>>,<<Sino>>,<<LBR-SIN
Boundiali>>,<<Boundiali>>,<<CIV-BNL
Korhogo>>,<<Korhogo>>,<<CIV-KRH
Odienne>>,<<Odienne>>,<<CIV-ODN
Tengrela>>,<<Tengrela>>,<<CIV-TNG
Touba>>,<<Touba>>,<<CIV-TOU
Beyla>>,<<Beyla>>,<<GIN-BEY
Bomi>>,<<Bomi>>,<<LBR-BOM
Bong>>,<<Bong>>,<<LBR-BON
Grand Bassa>>,<<Grand Bassa>>,<<LBR-GBA
Grand Cape Mount>>,<<Grand Cape Mount>>,<<LBR-GCM
Lofa>>,<<Lofa>>,<<LBR-LOF
Montserrado>>,<<Montserrado>>,<<LBR-MNT
Margibi>>,<<Margibi>>,<<LBR-MRG
Eastern>>,<<Eastern>>,<<SLE-EST
Macenta>>,<<Macenta>>,<<GIN-MCN
Nzerekore>>,<<Nzerekore>>,<<GIN-NZR
Yomou>>,<<Yomou>>,<<GIN-YOM
Nimba>>,<<Nimba>>,<<LBR-NIM
Rivercess>>,<<Rivercess>>,<<LBR-RVR
Dabola>>,<<Dabola>>,<<GIN-DAB
Faranah>>,<<Faranah>>,<<GIN-FRN
Gueckedou>>,<<Gueckedou>>,<<GIN-GCK
Kerouane>>,<<Kerouane>>,<<GIN-KER
Kankan>>,<<Kankan>>,<<GIN-KNK
Kouroussa>>,<<Kouroussa>>,<<GIN-KRS
Kissidougou>>,<<Kissidougou>>,<<GIN-KSS
Mandiana>>,<<Mandiana>>,<<GIN-MND
Bangolo>>,<<Bangolo>>,<<CIV-BNG
Biankouma>>,<<Biankouma>>,<<CIV-BNK
Danane>>,<<Danane>>,<<CIV-DAN
Duekoue>>,<<Duekoue>>,<<CIV-DUK
Guiglo>>,<<Guiglo>>,<<CIV-GUI
Man>>,<<Man>>,<<CIV-MAN
Seguela>>,<<Seguela>>,<<CIV-SEG
Lola>>,<<Lola>>,<<GIN-LOL
Grand Jide>>,<<Grand Jide>>,<<LBR-GJI
Bouafle>>,<<Bouafle>>,<<CIV-BOU
Mankono>>,<<Mankono>>,<<CIV-MNK
Vavoua>>,<<Vavoua>>,<<CIV-VAV
Zuenoula>>,<<Zuenoula>>,<<CIV-ZNL
Daloa>>,<<Daloa>>,<<CIV-DAL
Gagnoa>>,<<Gagnoa>>,<<CIV-GAG
Issia>>,<<Issia>>,<<CIV-ISS
Lakota>>,<<Lakota>>,<<CIV-LKT
Sinfra>>,<<Sinfra>>,<<CIV-SNF
Soubre>>,<<Soubre>>,<<CIV-SOB
Bougouriba>>,<<Bougouriba>>,<<BFA-BGR
Comoe>>,<<Comoe>>,<<BFA-COM
Poni>>,<<Poni>>,<<BFA-PON
Bouna>>,<<Bouna>>,<<CIV-BON
Ferkessedougou>>,<<Ferkessedougou>>,<<CIV-FRK
Katiola>>,<<Katiola>>,<<CIV-KAT
Northern>>,<<Northern>>,<<GHA-NRT
Upper East>>,<<Upper East>>,<<GHA-UPE
Upper West>>,<<Upper West>>,<<GHA-UPW
Agboville>>,<<Agboville>>,<<CIV-AGB
Agnibilekrou>>,<<Agnibilekrou>>,<<CIV-AGN
Bongouanou>>,<<Bongouanou>>,<<CIV-BGA
Bondoukou>>,<<Bondoukou>>,<<CIV-BND
Divo>>,<<Divo>>,<<CIV-DIV
Oume>>,<<Oume>>,<<CIV-OUM
Toumodi>>,<<Toumodi>>,<<CIV-TMD
Tanda>>,<<Tanda>>,<<CIV-TND
Tiassale>>,<<Tiassale>>,<<CIV-TSS
Beoumi>>,<<Beoumi>>,<<CIV-BEM
Bouake>>,<<Bouake>>,<<CIV-BOA
Dabakala>>,<<Dabakala>>,<<CIV-DBK
Daoukro>>,<<Daoukro>>,<<CIV-DKR
Dimbokro>>,<<Dimbokro>>,<<CIV-DMB
Mbahiakro>>,<<Mbahiakro>>,<<CIV-MBH
Sakassou>>,<<Sakassou>>,<<CIV-SKS
Yamoussoukro>>,<<Yamoussoukro>>,<<CIV-YMS
Abengourou>>,<<Abengourou>>,<<CIV-ABN
Aboisso>>,<<Aboisso>>,<<CIV-ABS
Adzope>>,<<Adzope>>,<<CIV-ADZ
Ashanti>>,<<Ashanti>>,<<GHA-ASH
Brong-Ahafo>>,<<Brong-Ahafo>>,<<GHA-BAH
Central>>,<<Central>>,<<GHA-CNT
Eastern>>,<<Eastern>>,<<GHA-EST
Western>>,<<Western>>,<<GHA-WST
Basse-Kotto>>,<<Basse-Kotto>>,<<CAF-BKO
Lobaye>>,<<Lobaye>>,<<CAF-LOB
Ombella-Mpoko>>,<<Ombella-Mpoko>>,<<CAF-OMP
Likouala>>,<<Likouala>>,<<COG-LIK
Annaba>>,<<Annaba>>,<<DZA-ANN
El Tarf>>,<<El Tarf>>,<<DZA-ETR
Jijel>>,<<Jijel>>,<<DZA-JIJ
Skikda>>,<<Skikda>>,<<DZA-SKK
Equateur>>,<<Equateur>>,<<COD-EQT
Extreme-Nord>>,<<Extreme-Nord>>,<<CMR-ENO
Diffa>>,<<Diffa>>,<<NER-DIF
Borno>>,<<Borno>>,<<NGA-BOR
Tomskaya oblast'>>,<<Tomskaya oblast'>>,<<RUS-TOM
Borkou-Ennedi-Tibesti>>,<<Borkou-Ennedi-Tibesti>>,<<TCD-BET
Chari-Baguirmi>>,<<Chari-Baguirmi>>,<<TCD-CBG
Kanem>>,<<Kanem>>,<<TCD-KAN
Lac>>,<<Lac>>,<<TCD-LAC
Kiribati>>,<<Kiribati>>,<<KIR
Abia>>,<<Abia>>,<<NGA-ABI
Akwa Ibom>>,<<Akwa Ibom>>,<<NGA-AKI
Imo>>,<<Imo>>,<<NGA-IMO
Rivers>>,<<Rivers>>,<<NGA-RVR
Principe>>,<<Principe>>,<<STP-PRN
Sao Tome>>,<<Sao Tome>>,<<STP-STO
Estuaire>>,<<Estuaire>>,<<GAB-EST
Centro Sur>>,<<Centro Sur>>,<<GNQ-CNS
Kie-Ntem>>,<<Kie-Ntem>>,<<GNQ-KNT
Litoral>>,<<Litoral>>,<<GNQ-LTR
Wele-Nzas>>,<<Wele-Nzas>>,<<GNQ-WLN
Batha>>,<<Batha>>,<<TCD-BAT
Biltine>>,<<Biltine>>,<<TCD-BLT
Guera>>,<<Guera>>,<<TCD-GUE
Ouaddai>>,<<Ouaddai>>,<<TCD-OUA
Littoral>>,<<Littoral>>,<<CMR-LTT
Nord-Ouest>>,<<Nord-Ouest>>,<<CMR-NOU
Ouest>>,<<Ouest>>,<<CMR-OUE
Sud-Ouest>>,<<Sud-Ouest>>,<<CMR-SOU
Bioko Norte>>,<<Bioko Norte>>,<<GNQ-BKN
Bioko Sur>>,<<Bioko Sur>>,<<GNQ-BKS
Benue>>,<<Benue>>,<<NGA-BEN
Cross River>>,<<Cross River>>,<<NGA-CRI
Taraba>>,<<Taraba>>,<<NGA-TAR
Borgou>>,<<Borgou>>,<<BEN-BOR
Kwara>>,<<Kwara>>,<<NGA-KWA
Lagos>>,<<Lagos>>,<<NGA-LAG
Niger>>,<<Niger>>,<<NGA-NIG
Ogun>>,<<Ogun>>,<<NGA-OGU
Ondo>>,<<Ondo>>,<<NGA-OND
Osun>>,<<Osun>>,<<NGA-OSU
Oyo>>,<<Oyo>>,<<NGA-OYO
Zou>>,<<Zou>>,<<BEN-ZOU
Greater Accra>>,<<Greater Accra>>,<<GHA-GAC
Volta>>,<<Volta>>,<<GHA-VOL
Amou>>,<<Amou>>,<<TGO-AMO
Kloto>>,<<Kloto>>,<<TGO-KLT
Ogou>>,<<Ogou>>,<<TGO-OGO
Wawa>>,<<Wawa>>,<<TGO-WAW
Zio>>,<<Zio>>,<<TGO-ZIO
Atlantique>>,<<Atlantique>>,<<BEN-ATL
Mono>>,<<Mono>>,<<BEN-MON
Oueme>>,<<Oueme>>,<<BEN-OUE
Golfe>>,<<Golfe>>,<<TGO-GLF
Haho>>,<<Haho>>,<<TGO-HAH
Lacs>>,<<Lacs>>,<<TGO-LAC
Vo>>,<<Vo>>,<<TGO-VOO
Yoto>>,<<Yoto>>,<<TGO-YOT
Assoli>>,<<Assoli>>,<<TGO-ASL
Bassar>>,<<Bassar>>,<<TGO-BSS
Kozah>>,<<Kozah>>,<<TGO-KZH
Nyala>>,<<Nyala>>,<<TGO-NYL
Sotouboua>>,<<Sotouboua>>,<<TGO-SOT
Tchaoudjo>>,<<Tchaoudjo>>,<<TGO-TCD
Atakora>>,<<Atakora>>,<<BEN-ATK
Binah>>,<<Binah>>,<<TGO-BNH
Doufelgou>>,<<Doufelgou>>,<<TGO-DFL
Keran>>,<<Keran>>,<<TGO-KRN
Oti>>,<<Oti>>,<<TGO-OTI
Tone>>,<<Tone>>,<<TGO-TON
Anambra>>,<<Anambra>>,<<NGA-ANM
Bauchi>>,<<Bauchi>>,<<NGA-BAU
Delta>>,<<Delta>>,<<NGA-DEL
Edo>>,<<Edo>>,<<NGA-EDO
Enugu>>,<<Enugu>>,<<NGA-ENU
Abuja Capital Territory (Abuja)>>,<<Abuja Capital Territory (Abuja)>>,<<NGA-FCT
Kaduna>>,<<Kaduna>>,<<NGA-KAD
Kogi>>,<<Kogi>>,<<NGA-KOG
Plateau>>,<<Plateau>>,<<NGA-PLA
Agadez>>,<<Agadez>>,<<NER-AGD
Maradi>>,<<Maradi>>,<<NER-MAR
Zinder>>,<<Zinder>>,<<NER-ZND
Jigawa>>,<<Jigawa>>,<<NGA-JIG
Kano>>,<<Kano>>,<<NGA-KAN
Katsina>>,<<Katsina>>,<<NGA-KAT
Sokoto>>,<<Sokoto>>,<<NGA-SOK
Yobe>>,<<Yobe>>,<<NGA-YOB
Gnagna>>,<<Gnagna>>,<<BFA-GNG
Gourma>>,<<Gourma>>,<<BFA-GRM
Seno>>,<<Seno>>,<<BFA-SEN
Tapoa>>,<<Tapoa>>,<<BFA-TAP
Dosso>>,<<Dosso>>,<<NER-DOS
Niamey>>,<<Niamey>>,<<NER-NIA
Tahoua>>,<<Tahoua>>,<<NER-TAH
Kebbi>>,<<Kebbi>>,<<NGA-KEB
Haute-Sangha>>,<<Haute-Sangha>>,<<CAF-HSN
Sangha>>,<<Sangha>>,<<CAF-SNG
Centre>>,<<Centre>>,<<CMR-CNT
Est>>,<<Est>>,<<CMR-EST
Sud>>,<<Sud>>,<<CMR-SUD
Sangha>>,<<Sangha>>,<<COG-SNG
Ogooue-Ivindo>>,<<Ogooue-Ivindo>>,<<GAB-OIV
Woleu-Ntem>>,<<Woleu-Ntem>>,<<GAB-WNT
Nana-Mambere>>,<<Nana-Mambere>>,<<CAF-NMM
Ouham-Pende>>,<<Ouham-Pende>>,<<CAF-OPE
Adamoua>>,<<Adamoua>>,<<CMR-ADM
Nord>>,<<Nord>>,<<CMR-NOR
Adamawa>>,<<Adamawa>>,<<NGA-ADM
Logone Occidental>>,<<Logone Occidental>>,<<TCD-LOC
Logone Oriental>>,<<Logone Oriental>>,<<TCD-LOR
Mayo Kebi>>,<<Mayo Kebi>>,<<TCD-MKE
Tandjile>>,<<Tandjile>>,<<TCD-TND
Bamingui-Bangoran>>,<<Bamingui-Bangoran>>,<<CAF-BBN
Gribingui>>,<<Gribingui>>,<<CAF-GRB
Kemo-Gribingui>>,<<Kemo-Gribingui>>,<<CAF-KGR
Ouaka>>,<<Ouaka>>,<<CAF-OUA
Ouham>>,<<Ouham>>,<<CAF-OUH
Vakaga>>,<<Vakaga>>,<<CAF-VAK
Moyen-Chari>>,<<Moyen-Chari>>,<<TCD-MCH
Salamat>>,<<Salamat>>,<<TCD-SLM
Illizi>>,<<Illizi>>,<<DZA-ILL
Tamanghasset>>,<<Tamanghasset>>,<<DZA-TMN
Emilia-Romagna>>,<<Emilia-Romagna>>,<<ITA-ERM
Liguria>>,<<Liguria>>,<<ITA-LIG
Sardegna>>,<<Sardegna>>,<<ITA-SRD
Toscana>>,<<Toscana>>,<<ITA-TSC
Monaco>>,<<Monaco>>,<<MCO
El Bayadh>>,<<El Bayadh>>,<<DZA-EBY
El Oued>>,<<El Oued>>,<<DZA-EOD
Ghardaia>>,<<Ghardaia>>,<<DZA-GHD
Laghouat>>,<<Laghouat>>,<<DZA-LGH
Ouargla>>,<<Ouargla>>,<<DZA-ORG
Ghadamis>>,<<Ghadamis>>,<<LBY-GHD
Madaniyin>>,<<Madaniyin>>,<<TUN-MDN
Quibili>>,<<Quibili>>,<<TUN-QBL
Tatawin>>,<<Tatawin>>,<<TUN-TTW
Andorra>>,<<Andorra>>,<<AND
Alger>>,<<Alger>>,<<DZA-ALG
Boumerdes>>,<<Boumerdes>>,<<DZA-BMR
Tizi Ouzou>>,<<Tizi Ouzou>>,<<DZA-TOU
Tipaza>>,<<Tipaza>>,<<DZA-TPZ
Isles Baleares>>,<<Isles Baleares>>,<<ESP-BLR
Cataluna>>,<<Cataluna>>,<<ESP-CTL
Ain Defla>>,<<Ain Defla>>,<<DZA-ADF
Chlef>>,<<Chlef>>,<<DZA-CHL
Mascara>>,<<Mascara>>,<<DZA-MSC
Mostaganem>>,<<Mostaganem>>,<<DZA-MST
Relizane>>,<<Relizane>>,<<DZA-RLZ
Saida>>,<<Saida>>,<<DZA-SAI
Tiaret>>,<<Tiaret>>,<<DZA-TIA
Tissemsilt>>,<<Tissemsilt>>,<<DZA-TSS
Bourdj Bou Arrer>>,<<Bourdj Bou Arrer>>,<<DZA-BBA
Bejaia>>,<<Bejaia>>,<<DZA-BEJ
Blida>>,<<Blida>>,<<DZA-BLI
Bouira>>,<<Bouira>>,<<DZA-BOU
Biskra>>,<<Biskra>>,<<DZA-BSK
Djelfa>>,<<Djelfa>>,<<DZA-DJL
Medea>>,<<Medea>>,<<DZA-MED
M'Sila>>,<<M'Sila>>,<<DZA-MSL
Setif>>,<<Setif>>,<<DZA-SET
Batna>>,<<Batna>>,<<DZA-BAT
Constantine>>,<<Constantine>>,<<DZA-CNS
Guelma>>,<<Guelma>>,<<DZA-GUE
Khenchela>>,<<Khenchela>>,<<DZA-KHN
Mila>>,<<Mila>>,<<DZA-MIL
Oum el Bouaghi>>,<<Oum el Bouaghi>>,<<DZA-OEB
Souk Ahras>>,<<Souk Ahras>>,<<DZA-SAH
Tebessa>>,<<Tebessa>>,<<DZA-TBS
Tawzar>>,<<Tawzar>>,<<TUN-TWZ
Aryanah>>,<<Aryanah>>,<<TUN-ARY
Bajah>>,<<Bajah>>,<<TUN-BAJ
Bin 'Arus>>,<<Bin 'Arus>>,<<TUN-BNR
Banzart>>,<<Banzart>>,<<TUN-BNZ
