CITY NAME>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<COUNTRY FIPS CODE>>,<<COUNTRY GMI
Mexico City>>,<<Distrito Federal>>,<<MEX-DTD>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX030
Toluca>>,<<Mexico>>,<<MEX-MEX>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX031
Cuernavaca>>,<<Morelos>>,<<MEX-MRL>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX032
Acapulco>>,<<Guerrero>>,<<MEX-GRR>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX034
Coban>>,<<Alta Verapaz>>,<<GTM-AVR>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM001
Huehuetenango>>,<<Huehuetenango>>,<<GTM-HHT>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM002
Santa Cruz Del Quiche>>,<<Quiche>>,<<GTM-QUI>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM003
San Marcos>>,<<San Marcos>>,<<GTM-SMR>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM004
Totonicapan>>,<<Totonicapan>>,<<GTM-TTN>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM005
Quezaltenango>>,<<Quezaltenango>>,<<GTM-QZL>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM006
Solola>>,<<Solola>>,<<GTM-SOL>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM007
Retalhuleu>>,<<Retalhuleu>>,<<GTM-RTL>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM008
Mazatenango>>,<<Suchitepequez>>,<<GTM-SCH>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM009
Salama>>,<<Baja Verapaz>>,<<GTM-BVR>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM010
El Progreso>>,<<El Progreso>>,<<GTM-EPR>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM011
Chimaltenango>>,<<Chimaltenango>>,<<GTM-CHM>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM012
Guatemala>>,<<Guatemala>>,<<GTM-GTM>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM013
Antigua Guatemala>>,<<Sacatepequez>>,<<GTM-SCT>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM014
Escuintla>>,<<Escuintla>>,<<GTM-ESC>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM015
Cuilapa>>,<<Santa Rosa>>,<<GTM-SRO>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM016
Pinar Del Rio>>,<<Pinar del Rio>>,<<CUB-PDR>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB001
Santa Clara>>,<<Villa Clara>>,<<CUB-VCL>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB002
Cienfuegos>>,<<Cienfuegos>>,<<CUB-CNF>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB003
Sancti Spiritus>>,<<Sancti Spiritus>>,<<CUB-SSP>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB004
Nueva Gerona>>,<<Isla de la Juventud>>,<<CUB-IDL>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB005
Ciego De Avila>>,<<Ciego de Avila>>,<<CUB-CDA>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB006
Halifax>>,<<Nova Scotia>>,<<CAN-NSC>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN013
Hamilton>>,<<Bermuda>>,<<BMU>>,<<Bermuda>>,<<BD>>,<<BMU>>,<<BMU001
Alajuela>>,<<Alajuela>>,<<CRI-ALJ>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI001
Heredia>>,<<Heredia>>,<<CRI-HER>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI002
Puerto Limon>>,<<Limon>>,<<CRI-LIM>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI003
San Jose>>,<<San Jose>>,<<CRI-SJO>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI004
Cartago>>,<<Cartago>>,<<CRI-CRT>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI005
Bocas del Toro>>,<<Bocas del Toro>>,<<PAN-BDT>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN001
David>>,<<Chiriqui>>,<<PAN-CHR>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN002
Oranjestad>>,<<Aruba>>,<<ABW>>,<<Aruba>>,<<AA>>,<<ABW>>,<<ABW001
Willemstad>>,<<Netherlands Antilles>>,<<ANT>>,<<Netherlands Antilles>>,<<NT>>,<<ANT>>,<<ANT001
Riohacha>>,<<La Guajira>>,<<COL-LGU>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL002
Coro>>,<<Falcon>>,<<VEN-FLC>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN001
Santiago>>,<<Veraguas>>,<<PAN-VRG>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN003
Chitre>>,<<Herrera>>,<<PAN-HRR>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN004
Las Tablas>>,<<Los Santos>>,<<PAN-LSN>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN005
San Carlos>>,<<Rio San Juan>>,<<NIC-RSJ>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC001
Liberia>>,<<Guanacaste>>,<<CRI-GNC>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI006
Puntarenas>>,<<Puntarenas>>,<<CRI-PNT>>,<<Costa Rica>>,<<CS>>,<<CRI>>,<<CRI007
El Porvenir>>,<<San Blas>>,<<PAN-SBL>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN006
Colon>>,<<Colon>>,<<PAN-COL>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN007
Panama>>,<<Panama>>,<<PAN-PAN>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN008
Penonome>>,<<Cocle>>,<<PAN-COC>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN009
Esmeraldas>>,<<Esmeraldas>>,<<ECU-ESM>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU018
San Andres>>,<<San Andres y Providencia>>,<<COL-SAY>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL003
Roatan>>,<<Islas de la Bahia>>,<<HND-IDL>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND001
Trujillo>>,<<Colon>>,<<HND-COL>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND002
La Ceiba>>,<<Atlantida>>,<<HND-ATL>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND003
Puerto Lempira>>,<<Gracias a Dios>>,<<HND-GAD>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND004
Juticalpa>>,<<Olancho>>,<<HND-OLN>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND005
Bluefields>>,<<Zelaya>>,<<NIC-ZEL>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC002
San Francisco Gotera>>,<<Morazan>>,<<SLV-MRZ>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV001
Nacaome>>,<<Valle>>,<<HND-VAL>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND006
San Miguel>>,<<San Miguel>>,<<SLV-SMI>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV002
Usulutan>>,<<Usulutan>>,<<SLV-USL>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV003
La Union>>,<<La Union>>,<<SLV-LUN>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV004
Choluteca>>,<<Choluteca>>,<<HND-CHL>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND007
Cojutepeque>>,<<Cuscatlan>>,<<SLV-CSC>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV005
Santa Ana>>,<<Santa Ana>>,<<SLV-SAN>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV006
Ahuachapan>>,<<Ahuachapan>>,<<SLV-AHC>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV007
Sensuntepeque>>,<<Cabanas>>,<<SLV-CBN>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV008
Sonsonate>>,<<Sonsonate>>,<<SLV-SNS>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV009
San Salvador>>,<<San Salvador>>,<<SLV-SSL>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV010
Nueva San Salvador>>,<<La Libertad>>,<<SLV-LLB>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV011
San Vicente>>,<<San Vicente>>,<<SLV-SVC>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV012
Zacatecoluca>>,<<La Paz>>,<<SLV-LPA>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV013
Punta Gorda>>,<<Toledo>>,<<BLZ-TOL>>,<<Belize>>,<<BH>>,<<BLZ>>,<<BLZ001
Puerto Barrios>>,<<Izabal>>,<<GTM-IZB>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM017
Zacapa>>,<<Zacapa>>,<<GTM-ZAC>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM018
Chiquimula>>,<<Chiquimula>>,<<GTM-CHQ>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM019
Santa Rosa>>,<<Copan>>,<<HND-COP>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND008
Jalapa>>,<<Jalapa>>,<<GTM-JAL>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM020
Nueva Ocotepeque>>,<<Ocotepeque>>,<<HND-OCT>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND009
Jutiapa>>,<<Jutiapa>>,<<GTM-JUT>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM021
Chalatenango>>,<<Chalatenango>>,<<SLV-CHL>>,<<El Salvador>>,<<ES>>,<<SLV>>,<<SLV014
San Pedro Sula>>,<<Cortes>>,<<HND-CRT>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND010
Yoro>>,<<Yoro>>,<<HND-YOR>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND011
Santa Barbara>>,<<Santa Barbara>>,<<HND-SBR>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND012
Gracias>>,<<Lempira>>,<<HND-LMP>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND013
Comayagua>>,<<Comayagua>>,<<HND-CMY>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND014
La Esperanza>>,<<Intibuca>>,<<HND-INT>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND015
La Paz>>,<<La Paz>>,<<HND-LPA>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND016
Tegucigalpa>>,<<Francisco Morazan>>,<<HND-FMR>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND017
Chinandega>>,<<Chinandega>>,<<NIC-CHN>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC003
Boaco>>,<<Boaco>>,<<NIC-BOA>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC004
Leon>>,<<Leon>>,<<NIC-LEO>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC005
Managua>>,<<Managua>>,<<NIC-MAN>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC006
Juigalpa>>,<<Chontales>>,<<NIC-CHT>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC007
Masaya>>,<<Masaya>>,<<NIC-MAS>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC008
Granada>>,<<Granada>>,<<NIC-GRN>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC009
Jinotepe>>,<<Carazo>>,<<NIC-CAR>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC010
Rivas>>,<<Rivas>>,<<NIC-RIV>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC011
Yuscaran>>,<<El Paraiso>>,<<HND-EPA>>,<<Honduras>>,<<HO>>,<<HND>>,<<HND018
Ocotal>>,<<Nueva Segovia>>,<<NIC-NSE>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC012
Somoto>>,<<Madriz>>,<<NIC-MDR>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC013
Jinotega>>,<<Jinotega>>,<<NIC-JNT>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC014
Esteli>>,<<Esteli>>,<<NIC-EST>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC015
Matagalpa>>,<<Matagalpa>>,<<NIC-MTG>>,<<Nicaragua>>,<<NU>>,<<NIC>>,<<NIC016
Merida>>,<<Yucatan>>,<<MEX-YCT>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX035
Chetumal>>,<<Quintana Roo>>,<<MEX-QRO>>,<<Mexico>>,<<MX>>,<<MEX>>,<<MEX036
Corozal>>,<<Corozal>>,<<BLZ-CRZ>>,<<Belize>>,<<BH>>,<<BLZ>>,<<BLZ002
Orange Walk>>,<<Orange Walk>>,<<BLZ-OWA>>,<<Belize>>,<<BH>>,<<BLZ>>,<<BLZ003
Belize>>,<<Belize>>,<<BLZ-BLZ>>,<<Belize>>,<<BH>>,<<BLZ>>,<<BLZ004
Belmopan>>,<<Cayo>>,<<BLZ-CAY>>,<<Belize>>,<<BH>>,<<BLZ>>,<<BLZ006
Stann Creek Town>>,<<Stann Creek>>,<<BLZ-SCR>>,<<Belize>>,<<BH>>,<<BLZ>>,<<BLZ007
Flores>>,<<Peten>>,<<GTM-PET>>,<<Guatemala>>,<<GT>>,<<GTM>>,<<GTM022
Port-De-Paix>>,<<Nord-Ouest>>,<<HTI-NOU>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI001
Monte Cristi>>,<<Monte Cristi>>,<<DOM-MCR>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM001
Puerto Plata>>,<<Puerto Plata>>,<<DOM-PPL>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM002
Cap-Haitien>>,<<Nord>>,<<HTI-NOR>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI002
Santa Marta>>,<<Magdalena>>,<<COL-MGD>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL004
Camaguey>>,<<Camaguey>>,<<CUB-CMG>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB007
Victoria De Las Tunas>>,<<Las Tunas>>,<<CUB-LTU>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB008
Holguin>>,<<Holguin>>,<<CUB-HLG>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB009
Manzanillo>>,<<Granma>>,<<CUB-GRN>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB010
Guantanamo>>,<<Guantanamo>>,<<CUB-GNT>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB011
Santiago De Cuba>>,<<Santiago de Cuba>>,<<CUB-SDC>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB012
Jeremie>>,<<Grand Anse>>,<<HTI-GAN>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI003
Les Cayes>>,<<Sud>>,<<HTI-SUD>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI004
Falmouth>>,<<Trelawny>>,<<JAM-TRL>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM001
Montego Bay>>,<<Saint James>>,<<JAM-SJA>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM002
Lucea>>,<<Hanover>>,<<JAM-HNV>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM003
Savanna La Mar>>,<<Westmoreland>>,<<JAM-WST>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM004
Mandeville>>,<<Manchester>>,<<JAM-MNC>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM005
Black River>>,<<Saint Elizabeth>>,<<JAM-SEL>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM006
St. Anns Bay>>,<<Saint Ann>>,<<JAM-SAN>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM008
Port Maria>>,<<Saint Mary>>,<<JAM-SMA>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM009
Port Antonio>>,<<Portland>>,<<JAM-PRT>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM010
Spanish Town>>,<<Saint Catherine>>,<<JAM-SCT>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM011
Kingston>>,<<Kingston>>,<<JAM-KNG>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM013
Port Morant>>,<<Saint Thomas>>,<<JAM-STH>>,<<Jamaica>>,<<JM>>,<<JAM>>,<<JAM014
Fort-Liberte>>,<<Nord-Est>>,<<HTI-NES>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI005
Dajabon>>,<<Dajabon>>,<<DOM-DJB>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM003
Gonaives>>,<<Artibonite>>,<<HTI-ART>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI006
Hinche>>,<<Centre>>,<<HTI-CNT>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI007
Elias Pina>>,<<La Estrelleta>>,<<DOM-LST>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM004
Port-au-Prince>>,<<Ouest>>,<<HTI-OUE>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI008
Jimani>>,<<Independencia>>,<<DOM-IND>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM005
Jacmel>>,<<Sud-Est>>,<<HTI-SES>>,<<Haiti>>,<<HA>>,<<HTI>>,<<HTI009
Pedernales>>,<<Pedernales>>,<<DOM-PDR>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM006
Sabaneta>>,<<Santiago Rodrigu>>,<<DOM-SRD>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM008
Santiago>>,<<Santiago>>,<<DOM-SNT>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM009
Moca>>,<<Espaillat>>,<<DOM-ESP>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM010
Salcedo>>,<<Salcedo>>,<<DOM-SLC>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM011
La Vega>>,<<La Vega>>,<<DOM-LVE>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM012
Bonao>>,<<Monsenor Novel>>,<<DOM-MNV>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM013
San Juan>>,<<San Juan>>,<<DOM-SJU>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM014
Bani>>,<<Peravia>>,<<DOM-PER>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM017
Barahona>>,<<Barahona>>,<<DOM-BRH>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM018
San Francisco De Macoris>>,<<Duarte>>,<<DOM-DUA>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM021
Samana>>,<<Samana>>,<<DOM-SAM>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM022
Cotui>>,<<Sanchez Ramirez>>,<<DOM-SRM>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM023
Monte Plata>>,<<Monte Plata>>,<<DOM-MPL>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM024
Santo Domingo>>,<<Santo Domingo>>,<<DOM-SDM>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM025
San Cristobal>>,<<San Cristobal>>,<<DOM-SCR>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM026
Hato Mayor>>,<<Hato Major>>,<<DOM-HMJ>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM027
El Seibo>>,<<El Seibo>>,<<DOM-ESE>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM028
Higuey>>,<<La Altagracia>>,<<DOM-LAL>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM029
La Romana>>,<<La Romana>>,<<DOM-LRO>>,<<Dominican Republic>>,<<DR>>,<<DOM>>,<<DOM031
Cali>>,<<Valle del Cauca>>,<<COL-VDC>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL005
Popayan>>,<<Cauca>>,<<COL-CAU>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL006
Florencia>>,<<Caqueta>>,<<COL-CAQ>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL007
Pasto>>,<<Narino>>,<<COL-NAR>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL008
Mocoa>>,<<Putumayo>>,<<COL-PTM>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL009
Tulcan>>,<<Carchi>>,<<ECU-CRC>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU019
Ibarra>>,<<Imbabura>>,<<ECU-IMB>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU020
Tunja>>,<<Boyaca>>,<<COL-BOY>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL010
Manizales>>,<<Caldas>>,<<COL-CLD>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL011
Pereira>>,<<Risaralda>>,<<COL-RSR>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL012
Armenia>>,<<Quindio>>,<<COL-QUI>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL013
Villavicencio>>,<<Meta>>,<<COL-MET>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL015
Neiva>>,<<Huila>>,<<COL-HUI>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL016
Bogota>>,<<Distrito Especial>>,<<COL-DES>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL017
Barranquilla>>,<<Atlantico>>,<<COL-ATL>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL018
Valledupar>>,<<Cesar>>,<<COL-CES>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL019
Cartagena>>,<<Bolivar>>,<<COL-BLV>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL020
Sincelejo>>,<<Sucre>>,<<COL-SUC>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL021
Monteria>>,<<Cordoba>>,<<COL-CRD>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL022
La Palma>>,<<Darien>>,<<PAN-DAR>>,<<Panama>>,<<PM>>,<<PAN>>,<<PAN010
Medellin>>,<<Antioquia>>,<<COL-ANT>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL023
Quibdo>>,<<Choco>>,<<COL-CHO>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL024
Maracaibo>>,<<Zulia>>,<<VEN-ZUL>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN002
Trujillo>>,<<Trujillo>>,<<VEN-TRJ>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN003
Merida>>,<<Merida>>,<<VEN-MER>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN004
Cucuta>>,<<Norde de Santander>>,<<COL-NDS>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL025
San Cristobal>>,<<Tachira>>,<<VEN-TCH>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN005
Bucaramanga>>,<<Santander>>,<<COL-SNT>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL026
Arauca>>,<<Arauca>>,<<COL-ARA>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL027
Puerto Ayacucho>>,<<Amazonas>>,<<VEN-AMZ>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN006
San Felipe>>,<<Yaracuy>>,<<VEN-YRC>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN007
Maracay>>,<<Aragua>>,<<VEN-ARA>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN008
Valencia>>,<<Carabobo>>,<<VEN-CRB>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN009
Barquisimeto>>,<<Lara>>,<<VEN-LAR>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN010
San Carlos>>,<<Cojedes>>,<<VEN-CJD>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN011
Guanare>>,<<Portuguesa>>,<<VEN-PRT>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN012
Barinas>>,<<Barinas>>,<<VEN-BRN>>,<<Venezuela>>,<<VE>>,<<VEN>>,<<VEN013
Yopal>>,<<Casanare>>,<<COL-CSN>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL028
Puerto Inirida>>,<<Guainia>>,<<COL-GUI>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL029
Mitu>>,<<Vaupes>>,<<COL-VAU>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL031
Toronto>>,<<Ontario>>,<<CAN-ONT>>,<<Canada>>,<<CA>>,<<CAN>>,<<CAN014
Buffalo>>,<<New York>>,<<USA-NYO>>,<<United States>>,<<US>>,<<USA>>,<<USA048
Detroit>>,<<Michigan>>,<<USA-MCH>>,<<United States>>,<<US>>,<<USA>>,<<USA049
Cleveland>>,<<Ohio>>,<<USA-OHI>>,<<United States>>,<<US>>,<<USA>>,<<USA050
Pittsburgh>>,<<Pennsylvania>>,<<USA-PEN>>,<<United States>>,<<US>>,<<USA>>,<<USA051
Columbus>>,<<Ohio>>,<<USA-OHI>>,<<United States>>,<<US>>,<<USA>>,<<USA052
Nassau>>,<<Bahamas>>,<<BHS>>,<<The Bahamas>>,<<BF>>,<<BHS>>,<<BHS001
Montgomery>>,<<Alabama>>,<<USA-ALB>>,<<United States>>,<<US>>,<<USA>>,<<USA054
Tallahassee>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<US>>,<<USA>>,<<USA055
Jacksonville>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<US>>,<<USA>>,<<USA056
Tampa>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<US>>,<<USA>>,<<USA057
Miami>>,<<Florida>>,<<USA-FLA>>,<<United States>>,<<US>>,<<USA>>,<<USA058
Matanzas>>,<<Matanzas>>,<<CUB-MTN>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB013
Havana>>,<<Ciudad de la Habana>>,<<CUB-CHB>>,<<Cuba>>,<<CU>>,<<CUB>>,<<CUB014
Milwaukee>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<US>>,<<USA>>,<<USA059
Madison>>,<<Wisconsin>>,<<USA-WIS>>,<<United States>>,<<US>>,<<USA>>,<<USA060
Lansing>>,<<Michigan>>,<<USA-MCH>>,<<United States>>,<<US>>,<<USA>>,<<USA061
Indianapolis>>,<<Indiana>>,<<USA-IND>>,<<United States>>,<<US>>,<<USA>>,<<USA063
Springfield>>,<<Illinois>>,<<USA-ILL>>,<<United States>>,<<US>>,<<USA>>,<<USA064
Cincinnati>>,<<Ohio>>,<<USA-OHI>>,<<United States>>,<<US>>,<<USA>>,<<USA065
Frankfort>>,<<Kentucky>>,<<USA-KEN>>,<<United States>>,<<US>>,<<USA>>,<<USA066
Nashville>>,<<Tennessee>>,<<USA-TNN>>,<<United States>>,<<US>>,<<USA>>,<<USA067
