CITY NAME>>,<<PROVINCE NAME>>,<<PROVINCE GMI>>,<<COUNTYR NAME>>,<<COUNTRY FIPS CODE>>,<<COUNTRY GMI
Loja>>,<<Loja>>,<<ECU-LOJ>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU009
Zamora>>,<<Zamora-Chinchipe>>,<<ECU-ZCH>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU010
Piura>>,<<Piura>>,<<PER-PIU>>,<<Peru>>,<<PE>>,<<PER>>,<<PER007
Chiclayo>>,<<Lambayeque>>,<<PER-LMB>>,<<Peru>>,<<PE>>,<<PER>>,<<PER008
Trujillo>>,<<La Libertad>>,<<PER-LLB>>,<<Peru>>,<<PE>>,<<PER>>,<<PER009
Chachapoyas>>,<<Amazonas>>,<<PER-AMZ>>,<<Peru>>,<<PE>>,<<PER>>,<<PER011
Cajamarca>>,<<Cajamarca>>,<<PER-CJM>>,<<Peru>>,<<PE>>,<<PER>>,<<PER012
Pucallpa>>,<<Ucayali>>,<<PER-UCY>>,<<Peru>>,<<PE>>,<<PER>>,<<PER013
Chimbote>>,<<Ancash>>,<<PER-ANC>>,<<Peru>>,<<PE>>,<<PER>>,<<PER014
Huaraz>>,<<Ancash>>,<<PER-ANC>>,<<Peru>>,<<PE>>,<<PER>>,<<PER015
Huanuco>>,<<Huanuco>>,<<PER-HUA>>,<<Peru>>,<<PE>>,<<PER>>,<<PER016
Cerro De Pasco>>,<<Pasco>>,<<PER-PAS>>,<<Peru>>,<<PE>>,<<PER>>,<<PER017
Quito>>,<<Pichincha>>,<<ECU-PCH>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU011
Tena>>,<<Napo>>,<<ECU-NAP>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU013
Ambato>>,<<Tungurahua>>,<<ECU-TNG>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU014
Puyo>>,<<Pastaza>>,<<ECU-PST>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU015
Riobamba>>,<<Chimborazo>>,<<ECU-CHM>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU016
Macas>>,<<Morona-Santiago>>,<<ECU-MSN>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU017
Iquitos>>,<<Loreto>>,<<PER-LOR>>,<<Peru>>,<<PE>>,<<PER>>,<<PER018
Callao>>,<<Callao>>,<<PER-CAL>>,<<Peru>>,<<PE>>,<<PER>>,<<PER019
Huancayo>>,<<Junin>>,<<PER-JUN>>,<<Peru>>,<<PE>>,<<PER>>,<<PER020
Huancavelica>>,<<Huancavelica>>,<<PER-HNC>>,<<Peru>>,<<PE>>,<<PER>>,<<PER021
Ayacucho>>,<<Ayacucho>>,<<PER-AYC>>,<<Peru>>,<<PE>>,<<PER>>,<<PER022
Ica>>,<<Ica>>,<<PER-ICA>>,<<Peru>>,<<PE>>,<<PER>>,<<PER023
Moquegua>>,<<Moquegua>>,<<PER-MOQ>>,<<Peru>>,<<PE>>,<<PER>>,<<PER024
Tacna>>,<<Tacna>>,<<PER-TAC>>,<<Peru>>,<<PE>>,<<PER>>,<<PER025
Iquique>>,<<Tarapaca>>,<<CHL-TRP>>,<<Chile>>,<<CI>>,<<CHL>>,<<CHL014
