PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
Canar>>,<<EC04>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-CAN>>,<<ECU-CAN
Cotopaxi>>,<<EC07>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-CTP>>,<<ECU-CTP
Guayas>>,<<EC10>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-GUA>>,<<ECU-GUA
Los Rios>>,<<EC13>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-LRI>>,<<ECU-LRI
Manabi>>,<<EC14>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-MAN>>,<<ECU-MAN
Acre>>,<<BR01>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-ACR>>,<<BRA-ACR
Amazonas>>,<<CO01>>,<<Colombia>>,<<CO>>,<<COL>>,<<COL-AMZ>>,<<COL-AMZ
Ancash>>,<<PE02>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-ANC>>,<<PER-ANC
Cajamarca>>,<<PE06>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-CJM>>,<<PER-CJM
Huanuco>>,<<PE10>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-HUA>>,<<PER-HUA
La Libertad>>,<<PE13>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-LLB>>,<<PER-LLB
Pasco>>,<<PE19>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-PAS>>,<<PER-PAS
San Martin>>,<<PE22>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-SMR>>,<<PER-SMR
Ucayali>>,<<PE25>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-UCY>>,<<PER-UCY
Chimborazo>>,<<EC06>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-CHM>>,<<ECU-CHM
Morona-Santiago>>,<<EC15>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-MSN>>,<<ECU-MSN
Napo>>,<<EC21>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-NAP>>,<<ECU-NAP
Pichincha>>,<<EC18>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-PCH>>,<<ECU-PCH
Pastaza>>,<<EC17>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-PST>>,<<ECU-PST
Tungurahua>>,<<EC19>>,<<Ecuador>>,<<EC>>,<<ECU>>,<<ECU-TNG>>,<<ECU-TNG
Amazonas>>,<<PE01>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-AMZ>>,<<PER-AMZ
Loreto>>,<<PE16>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-LOR>>,<<PER-LOR
Ayacucho>>,<<PE05>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-AYC>>,<<PER-AYC
Callao>>,<<PE07>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-CAL>>,<<PER-CAL
Huancavelica>>,<<PE09>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-HNC>>,<<PER-HNC
Ica>>,<<PE11>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-ICA>>,<<PER-ICA
Junin>>,<<PE12>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-JUN>>,<<PER-JUN
Lima>>,<<PE15>>,<<Peru>>,<<PE>>,<<PER>>,<<PER-LIM>>,<<PER-LIM
Pando>>,<<BL06>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-PAN>>,<<BOL-PAN
Amazonas>>,<<BR04>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-AMZ>>,<<BRA-AMZ
Litigated Zone>>,<<BR>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-LT1>>,<<BRA-LT1
Maranhao>>,<<BR13>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-MRN>>,<<BRA-MRN
Para>>,<<BR16>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-PAR>>,<<BRA-PAR
Rondonia>>,<<BR24>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-RND>>,<<BRA-RND
Tocantins>>,<<BR31>>,<<Brazil>>,<<BR>>,<<BRA>>,<<BRA-TCN>>,<<BRA-TCN
Cochabamba>>,<<BL02>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-CCH>>,<<BOL-CCH
Chuquisaca>>,<<BL01>>,<<Bolivia>>,<<BL>>,<<BOL>>,<<BOL-CHQ>>,<<BOL-CHQ
