PROVINCE NAME>>,<<PROVINCE FIPS>>,<<COUNTRY NAME>>,<<COUNTRY FIPS>>,<<COUNTRY GMI>>,<<PROVINCE GMI
Coyah>>,<<GV>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-COY>>,<<GIN-COY
Dalaba>>,<<GV06>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-DAL>>,<<GIN-DAL
Forecariah>>,<<GV10>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-FRC>>,<<GIN-FRC
Fria>>,<<GV11>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-FRI>>,<<GIN-FRI
Kindia>>,<<GV16>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KIN>>,<<GIN-KIN
Mamou>>,<<GV23>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-MAM>>,<<GIN-MAM
Pita>>,<<GV25>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-PIT>>,<<GIN-PIT
Telimele>>,<<GV27>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-TLM>>,<<GIN-TLM
Northern>>,<<SL02>>,<<Sierra Leone>>,<<SL>>,<<SLE>>,<<SLE-NRT>>,<<SLE-NRT
Assaba>>,<<MR03>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-ASB>>,<<MRT-ASB
Guidimaka>>,<<MR10>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-GDM>>,<<MRT-GDM
Gorgol>>,<<MR04>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-GRG>>,<<MRT-GRG
Diourbel>>,<<SG03>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-DRB>>,<<SEN-DRB
Fatick>>,<<SG09>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-FTC>>,<<SEN-FTC
Kaolack>>,<<SG10>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-KLC>>,<<SEN-KLC
Louga>>,<<SG08>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-LOU>>,<<SEN-LOU
Saint-Louis>>,<<SG04>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-STL>>,<<SEN-STL
Thies>>,<<SG07>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-THI>>,<<SEN-THI
MacCarthy Island>>,<<GA03>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-MIS>>,<<GMB-MIS
Upper River>>,<<GA04>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-URI>>,<<GMB-URI
Bissau>>,<<PU11>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-BIS>>,<<GNB-BIS
Biombo>>,<<PU12>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-BMB>>,<<GNB-BMB
Bolama>>,<<PU05>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-BOL>>,<<GNB-BOL
Cacheu>>,<<PU06>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-CAC>>,<<GNB-CAC
Oio>>,<<PU04>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-OIO>>,<<GNB-OIO
Quinara>>,<<PU02>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-QNR>>,<<GNB-QNR
Kolda>>,<<SG11>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-KLD>>,<<SEN-KLD
Banjul>>,<<GA01>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-BNJ>>,<<GMB-BNJ
Kombo Saint Mary>>,<<GA>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-KSM>>,<<GMB-KSM
Lower River>>,<<GA02>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-LRI>>,<<GMB-LRI
North Bank>>,<<GA07>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-NBA>>,<<GMB-NBA
Western>>,<<GA05>>,<<The Gambia>>,<<GA>>,<<GMB>>,<<GMB-WST>>,<<GMB-WST
Ziguinchor>>,<<SG12>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-ZGN>>,<<SEN-ZGN
Bafata>>,<<PU01>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-BAF>>,<<GNB-BAF
Gabu>>,<<PU10>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-GAB>>,<<GNB-GAB
Tombali>>,<<PU07>>,<<Guinea-Bissau>>,<<PU>>,<<GNB>>,<<GNB-TMB>>,<<GNB-TMB
Gaoual>>,<<GV12>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-GAO>>,<<GIN-GAO
Koundara>>,<<GV18>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KND>>,<<GIN-KND
Koubia>>,<<GV>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KOB>>,<<GIN-KOB
Labe>>,<<GV20>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-LAB>>,<<GIN-LAB
Lelouma>>,<<GV>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-LLM>>,<<GIN-LLM
Mali>>,<<GV22>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-MLI>>,<<GIN-MLI
Tougue>>,<<GV28>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-TOU>>,<<GIN-TOU
Tambacounda>>,<<SG05>>,<<Senegal>>,<<SG>>,<<SEN>>,<<SEN-TMB>>,<<SEN-TMB
Dinguiraye>>,<<GV07>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-DNG>>,<<GIN-DNG
Siguiri>>,<<GV26>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-SIG>>,<<GIN-SIG
Bamako>>,<<ML01>>,<<Mali>>,<<ML>>,<<MLI>>,<<MLI-BAM>>,<<MLI-BAM
Kayes>>,<<ML03>>,<<Mali>>,<<ML>>,<<MLI>>,<<MLI-KAY>>,<<MLI-KAY
Sikasso>>,<<ML06>>,<<Mali>>,<<ML>>,<<MLI>>,<<MLI-SKS>>,<<MLI-SKS
Adrar>>,<<MR07>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-ADR>>,<<MRT-ADR
Hodh ech Chargui>>,<<MR01>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-HEC>>,<<MRT-HEC
Hodh el Gharbi>>,<<MR02>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-HEG>>,<<MRT-HEG
Tagant>>,<<MR09>>,<<Mauritania>>,<<MR>>,<<MRT>>,<<MRT-TGN>>,<<MRT-TGN
Houet>>,<<UV23>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-HUT>>,<<BFA-HUT
Kenedougou>>,<<UV25>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-KND>>,<<BFA-KND
Kossi>>,<<UV27>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-KSS>>,<<BFA-KSS
Mouhoun>>,<<UV29>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-MHN>>,<<BFA-MHN
Oudalan>>,<<UV33>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-ODL>>,<<BFA-ODL
Soum>>,<<UV40>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-SOM>>,<<BFA-SOM
Sourou>>,<<UV41>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-SOR>>,<<BFA-SOR
Mopti>>,<<ML04>>,<<Mali>>,<<ML>>,<<MLI>>,<<MLI-MOP>>,<<MLI-MOP
Segou>>,<<ML05>>,<<Mali>>,<<ML>>,<<MLI>>,<<MLI-SEG>>,<<MLI-SEG
Bam>>,<<UV15>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-BAM>>,<<BFA-BAM
Boulkiemde>>,<<UV19>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-BLK>>,<<BFA-BLK
Bazega>>,<<UV16>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-BZG>>,<<BFA-BZG
Kadiogo>>,<<UV24>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-KDG>>,<<BFA-KDG
Oubritenga>>,<<UV32>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-OBR>>,<<BFA-OBR
Passore>>,<<UV34>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-PSS>>,<<BFA-PSS
Sanguie>>,<<UV36>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-SNG>>,<<BFA-SNG
Sissili>>,<<UV39>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-SSS>>,<<BFA-SSS
Yatenga>>,<<UV43>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-YTN>>,<<BFA-YTN
Namentenga>>,<<UV30>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-NMT>>,<<BFA-NMT
Sanmatenga>>,<<UV37>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-SNM>>,<<BFA-SNM
Boulgou>>,<<UV18>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-BLG>>,<<BFA-BLG
Ganzourgou>>,<<UV20>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-GNZ>>,<<BFA-GNZ
Kouritenga>>,<<UV28>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-KRT>>,<<BFA-KRT
Nahouri>>,<<UV31>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-NHR>>,<<BFA-NHR
Zoundweogo>>,<<UV44>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-ZND>>,<<BFA-ZND
Abidjan>>,<<IV35>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ABD>>,<<CIV-ABD
Grand-Lahou>>,<<IV45>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-GRL>>,<<CIV-GRL
San-Pedro>>,<<IV50>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-SNP>>,<<CIV-SNP
Sassandra>>,<<IV51>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-SSS>>,<<CIV-SSS
Tabou>>,<<IV53>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-TAB>>,<<CIV-TAB
Grand Kru>>,<<LI>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-GKR>>,<<LBR-GKR
Maryland>>,<<LI06>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-MRY>>,<<LBR-MRY
Sino>>,<<LI10>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-SIN>>,<<LBR-SIN
Boundiali>>,<<IV12>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BNL>>,<<CIV-BNL
Korhogo>>,<<IV21>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-KRH>>,<<CIV-KRH
Odienne>>,<<IV23>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ODN>>,<<CIV-ODN
Tengrela>>,<<IV33>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-TNG>>,<<CIV-TNG
Touba>>,<<IV26>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-TOU>>,<<CIV-TOU
Beyla>>,<<GV01>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-BEY>>,<<GIN-BEY
Bomi>>,<<LI>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-BOM>>,<<LBR-BOM
Bong>>,<<LI01>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-BON>>,<<LBR-BON
Grand Bassa>>,<<LI03>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-GBA>>,<<LBR-GBA
Grand Cape Mount>>,<<LI04>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-GCM>>,<<LBR-GCM
Lofa>>,<<LI05>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-LOF>>,<<LBR-LOF
Montserrado>>,<<LI08>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-MNT>>,<<LBR-MNT
Margibi>>,<<LI>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-MRG>>,<<LBR-MRG
Eastern>>,<<SL01>>,<<Sierra Leone>>,<<SL>>,<<SLE>>,<<SLE-EST>>,<<SLE-EST
Macenta>>,<<GV21>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-MCN>>,<<GIN-MCN
Nzerekore>>,<<GV24>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-NZR>>,<<GIN-NZR
Yomou>>,<<GV29>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-YOM>>,<<GIN-YOM
Nimba>>,<<LI09>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-NIM>>,<<LBR-NIM
Rivercess>>,<<LI>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-RVR>>,<<LBR-RVR
Dabola>>,<<GV05>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-DAB>>,<<GIN-DAB
Faranah>>,<<GV09>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-FRN>>,<<GIN-FRN
Gueckedou>>,<<GV13>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-GCK>>,<<GIN-GCK
Kerouane>>,<<GV15>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KER>>,<<GIN-KER
Kankan>>,<<GV14>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KNK>>,<<GIN-KNK
Kouroussa>>,<<GV19>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KRS>>,<<GIN-KRS
Kissidougou>>,<<GV17>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-KSS>>,<<GIN-KSS
Mandiana>>,<<GV>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-MND>>,<<GIN-MND
Bangolo>>,<<IV36>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BNG>>,<<CIV-BNG
Biankouma>>,<<IV07>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BNK>>,<<CIV-BNK
Danane>>,<<IV14>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DAN>>,<<CIV-DAN
Duekoue>>,<<IV44>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DUK>>,<<CIV-DUK
Guiglo>>,<<IV46>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-GUI>>,<<CIV-GUI
Man>>,<<IV47>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-MAN>>,<<CIV-MAN
Seguela>>,<<IV25>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-SEG>>,<<CIV-SEG
Lola>>,<<GV>>,<<Guinea>>,<<GV>>,<<GIN>>,<<GIN-LOL>>,<<GIN-LOL
Grand Jide>>,<<LI02>>,<<Liberia>>,<<LI>>,<<LBR>>,<<LBR-GJI>>,<<LBR-GJI
Bouafle>>,<<IV39>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BOU>>,<<CIV-BOU
Mankono>>,<<IV30>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-MNK>>,<<CIV-MNK
Vavoua>>,<<IV57>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-VAV>>,<<CIV-VAV
Zuenoula>>,<<IV34>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ZNL>>,<<CIV-ZNL
Daloa>>,<<IV41>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DAL>>,<<CIV-DAL
Gagnoa>>,<<IV18>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-GAG>>,<<CIV-GAG
Issia>>,<<IV28>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ISS>>,<<CIV-ISS
Lakota>>,<<IV29>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-LKT>>,<<CIV-LKT
Sinfra>>,<<IV52>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-SNF>>,<<CIV-SNF
Soubre>>,<<IV32>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-SOB>>,<<CIV-SOB
Bougouriba>>,<<UV17>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-BGR>>,<<BFA-BGR
Comoe>>,<<UV26>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-COM>>,<<BFA-COM
Poni>>,<<UV35>>,<<Burkina Faso>>,<<UV>>,<<BFA>>,<<BFA-PON>>,<<BFA-PON
Bouna>>,<<IV11>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BON>>,<<CIV-BON
Ferkessedougou>>,<<IV17>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-FRK>>,<<CIV-FRK
Katiola>>,<<IV20>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-KAT>>,<<CIV-KAT
Northern>>,<<GH06>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-NRT>>,<<GHA-NRT
Upper East>>,<<GH10>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-UPE>>,<<GHA-UPE
Upper West>>,<<GH11>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-UPW>>,<<GHA-UPW
Agboville>>,<<IV06>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-AGB>>,<<CIV-AGB
Agnibilekrou>>,<<IV>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-AGN>>,<<CIV-AGN
Bongouanou>>,<<IV27>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BGA>>,<<CIV-BGA
Bondoukou>>,<<IV38>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BND>>,<<CIV-BND
Divo>>,<<IV16>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DIV>>,<<CIV-DIV
Oume>>,<<IV31>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-OUM>>,<<CIV-OUM
Toumodi>>,<<IV56>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-TMD>>,<<CIV-TMD
Tanda>>,<<IV54>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-TND>>,<<CIV-TND
Tiassale>>,<<IV55>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-TSS>>,<<CIV-TSS
Beoumi>>,<<IV37>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BEM>>,<<CIV-BEM
Bouake>>,<<IV40>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-BOA>>,<<CIV-BOA
Dabakala>>,<<IV03>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DBK>>,<<CIV-DBK
Daoukro>>,<<IV42>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DKR>>,<<CIV-DKR
Dimbokro>>,<<IV43>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-DMB>>,<<CIV-DMB
Mbahiakro>>,<<IV48>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-MBH>>,<<CIV-MBH
Sakassou>>,<<IV49>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-SKS>>,<<CIV-SKS
Yamoussoukro>>,<<IV58>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-YMS>>,<<CIV-YMS
Abengourou>>,<<IV01>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ABN>>,<<CIV-ABN
Aboisso>>,<<IV04>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ABS>>,<<CIV-ABS
Adzope>>,<<IV05>>,<<Cote d'Ivoire>>,<<IV>>,<<CIV>>,<<CIV-ADZ>>,<<CIV-ADZ
Ashanti>>,<<GH02>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-ASH>>,<<GHA-ASH
Brong-Ahafo>>,<<GH03>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-BAH>>,<<GHA-BAH
Central>>,<<GH04>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-CNT>>,<<GHA-CNT
Eastern>>,<<GH05>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-EST>>,<<GHA-EST
Western>>,<<GH09>>,<<Ghana>>,<<GH>>,<<GHA>>,<<GHA-WST>>,<<GHA-WST
Basse-Kotto>>,<<CT02>>,<<Central African Republic>>,<<CT>>,<<CAF>>,<<CAF-BKO>>,<<CAF-BKO
Lobaye>>,<<CT07>>,<<Central African Republic>>,<<CT>>,<<CAF>>,<<CAF-LOB>>,<<CAF-LOB
Ombella-Mpoko>>,<<CT17>>,<<Central African Republic>>,<<CT>>,<<CAF>>,<<CAF-OMP>>,<<CAF-OMP
Likouala>>,<<CF06>>,<<Congo>>,<<CF>>,<<COG>>,<<COG-LIK>>,<<COG-LIK
Annaba>>,<<AG37>>,<<Algeria>>,<<AG>>,<<DZA>>,<<DZA-ANN>>,<<DZA-ANN
El Tarf>>,<<AG44>>,<<Algeria>>,<<AG>>,<<DZA>>,<<DZA-ETR>>,<<DZA-ETR
Jijel>>,<<AG24>>,<<Algeria>>,<<AG>>,<<DZA>>,<<DZA-JIJ>>,<<DZA-JIJ
Skikda>>,<<AG31>>,<<Algeria>>,<<AG>>,<<DZA>>,<<DZA-SKK>>,<<DZA-SKK
Equateur>>,<<CG02>>,<<Congo, DRC>>,<<CG>>,<<COD>>,<<COD-EQT>>,<<COD-EQT
Extreme-Nord>>,<<CM12>>,<<Cameroon>>,<<CM>>,<<CMR>>,<<CMR-ENO>>,<<CMR-ENO
Diffa>>,<<NG02>>,<<Niger>>,<<NG>>,<<NER>>,<<NER-DIF>>,<<NER-DIF
Borno>>,<<NI27>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-BOR>>,<<NGA-BOR
Tomskaya oblast'>>,<<RS>>,<<Russia>>,<<RS>>,<<RUS>>,<<RUS-TOM>>,<<RUS-TOM
Borkou-Ennedi-Tibesti>>,<<CD03>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-BET>>,<<TCD-BET
Chari-Baguirmi>>,<<CD04>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-CBG>>,<<TCD-CBG
Kanem>>,<<CD06>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-KAN>>,<<TCD-KAN
Lac>>,<<CD07>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-LAC>>,<<TCD-LAC
Kiribati>>,<<KR>>,<<Kiribati>>,<<KR>>,<<KIR>>,<<KIR>>,<<KIR
Abia>>,<<NI34>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-ABI>>,<<NGA-ABI
Akwa Ibom>>,<<NI21>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-AKI>>,<<NGA-AKI
Imo>>,<<NI28>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-IMO>>,<<NGA-IMO
Rivers>>,<<NI10>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-RVR>>,<<NGA-RVR
Principe>>,<<TP01>>,<<Sao Tome & Principe>>,<<TP>>,<<STP>>,<<STP-PRN>>,<<STP-PRN
Sao Tome>>,<<TP02>>,<<Sao Tome & Principe>>,<<TP>>,<<STP>>,<<STP-STO>>,<<STP-STO
Estuaire>>,<<GB01>>,<<Gabon>>,<<GB>>,<<GAB>>,<<GAB-EST>>,<<GAB-EST
Centro Sur>>,<<EK06>>,<<Equatorial Guinea>>,<<EK>>,<<GNQ>>,<<GNQ-CNS>>,<<GNQ-CNS
Kie-Ntem>>,<<EK07>>,<<Equatorial Guinea>>,<<EK>>,<<GNQ>>,<<GNQ-KNT>>,<<GNQ-KNT
Litoral>>,<<EK08>>,<<Equatorial Guinea>>,<<EK>>,<<GNQ>>,<<GNQ-LTR>>,<<GNQ-LTR
Wele-Nzas>>,<<EK09>>,<<Equatorial Guinea>>,<<EK>>,<<GNQ>>,<<GNQ-WLN>>,<<GNQ-WLN
Batha>>,<<CD01>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-BAT>>,<<TCD-BAT
Biltine>>,<<CD02>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-BLT>>,<<TCD-BLT
Guera>>,<<CD05>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-GUE>>,<<TCD-GUE
Ouaddai>>,<<CD12>>,<<Chad>>,<<CD>>,<<TCD>>,<<TCD-OUA>>,<<TCD-OUA
Littoral>>,<<CM05>>,<<Cameroon>>,<<CM>>,<<CMR>>,<<CMR-LTT>>,<<CMR-LTT
Nord-Ouest>>,<<CM07>>,<<Cameroon>>,<<CM>>,<<CMR>>,<<CMR-NOU>>,<<CMR-NOU
Ouest>>,<<CM08>>,<<Cameroon>>,<<CM>>,<<CMR>>,<<CMR-OUE>>,<<CMR-OUE
Sud-Ouest>>,<<CM09>>,<<Cameroon>>,<<CM>>,<<CMR>>,<<CMR-SOU>>,<<CMR-SOU
Bioko Norte>>,<<EK04>>,<<Equatorial Guinea>>,<<EK>>,<<GNQ>>,<<GNQ-BKN>>,<<GNQ-BKN
Bioko Sur>>,<<EK05>>,<<Equatorial Guinea>>,<<EK>>,<<GNQ>>,<<GNQ-BKS>>,<<GNQ-BKS
Benue>>,<<NI26>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-BEN>>,<<NGA-BEN
Cross River>>,<<NI22>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-CRI>>,<<NGA-CRI
Taraba>>,<<NI43>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-TAR>>,<<NGA-TAR
Borgou>>,<<BN03>>,<<Benin>>,<<BN>>,<<BEN>>,<<BEN-BOR>>,<<BEN-BOR
Kwara>>,<<NI30>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-KWA>>,<<NGA-KWA
Lagos>>,<<NI05>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-LAG>>,<<NGA-LAG
Niger>>,<<NI31>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-NIG>>,<<NGA-NIG
Ogun>>,<<NI16>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-OGU>>,<<NGA-OGU
Ondo>>,<<NI17>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-OND>>,<<NGA-OND
Osun>>,<<NI42>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-OSU>>,<<NGA-OSU
Oyo>>,<<NI32>>,<<Nigeria>>,<<NI>>,<<NGA>>,<<NGA-OYO>>,<<NGA-OYO
Zou>>,<<BN06>>,<<Benin>>,<<BN>>,<<BEN>>,<<BEN-ZOU>>,<<BEN-ZOU
